Name,Rating,Hourly Taxed,,,,,,,,,,,,,,,,,,,,,,,,,
Pele,98,5667700,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Maradona,97,3704050,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo Nazario,96,8550000,,,,,,,,,,,,,,,,,,,,,,,,,
Zinedine Zidane,96,3894050,,,,,,,,,,,,,,,,,,,,,,,,,
Pele,95,4013750,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Maradona,95,1747050,,,,,,,,,,,,,,,,,,,,,,,,,
Ferenc Puskas,94,2489000,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo Nazario,94,5795000,,,,,,,,,,,,,,,,,,,,,,,,,
Johan Cruyff,94,4750000,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldinho,94,4864950,,,,,,,,,,,,,,,,,,,,,,,,,
Paolo Maldini,94,2736000,,,,,,,,,,,,,,,,,,,,,,,,,
Lev Yashin,94,622250,,,,,,,,,,,,,,,,,,,,,,,,,
Zinedine Zidane,94,2090000,,,,,,,,,,,,,,,,,,,,,,,,,
Garrincha,94,2066250,,,,,,,,,,,,,,,,,,,,,,,,,
Xavi,93,1301500,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Cantona,93,2850000,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Baggio,93,612750,,,,,,,,,,,,,,,,,,,,,,,,,
George Best,93,2042500,,,,,,,,,,,,,,,,,,,,,,,,,
Eusebio,93,4987500,,,,,,,,,,,,,,,,,,,,,,,,,
Thierry Henry,93,1786000,,,,,,,,,,,,,,,,,,,,,,,,,
Marco van Basten,93,497325,,,,,,,,,,,,,,,,,,,,,,,,,
Ruud Gullit,93,6836200,,,,,,,,,,,,,,,,,,,,,,,,,
Lothar Matthaus,93,2155550,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Baresi,93,379050,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Alberto Torres,93,1044050,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Pirlo,92,569050,,,,,,,,,,,,,,,,,,,,,,,,,
Garrincha,92,1204600,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Sanchez,92,988000,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Dalglish,92,1558000,,,,,,,,,,,,,,,,,,,,,,,,,
