Column1,Column2,Hourly Taxed,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Minimum
Pele,98,5667700,6045000,5990000,6076000,5990667,5966000,6435000,6417000,6399000,6346000,6349000,6349000,6349000,6349000,6200000,6200000,6100000,6000000,6349500,6250000,6249500,6115333,6047000,6300000,6150000,5966000
Diego Maradona,97,3704050,3900000,3900000,3900000,3899000,3899000,3899000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4099500,4000000,4000000,4000000,4099500,3975000,3950000,4174500,4000000,,3899000
Ronaldo Nazario,96,8550000,9644500,9499500,9399000,9800000,9800000,9750000,9750000,9600000,9545000,9475000,9475000,9475000,9650000,9650000,9469000,9000000,9848500,9625000,9396500,9303000,9213000,9133000,9500000,9500000,9000000
Zinedine Zidane,96,3894050,4225000,4150000,4100000,4149500,4100000,4100000,4199000,4180000,4170000,4199000,4199000,4199000,4199000,4199000,4199500,4099000,4377000,4275000,4250000,4389333,4349000,4200000,4315333,,4099000
Pele,95,4013750,4240000,4390000,4289500,4225000,4345000,4322000,4299500,4294500,4290000,4250000,4250000,4380000,4294500,4290000,4387000,4351333,4310000,4249000,4290000,4299000,4233333,4299000,4284500,4250000,4225000
Diego Maradona,95,1747050,1944500,1939000,2040000,2190500,2060000,2015000,1990000,1983500,1973500,1970000,1899000,1839500,1839000,2029500,2019000,1990000,1999000,1999000,1999000,1942500,2045000,1959500,1953500,1946000,1839000
Ferenc Puskas,94,2489000,2699000,2687000,2662500,2731000,2730000,2732000,2708500,2685000,2697500,2700000,2700000,2700000,2700000,2700000,2700000,2680000,2700000,2685000,2670000,2700000,2670000,2633000,2623000,2620000,2620000
Ronaldo Nazario,94,5795000,6200000,6250000,6375000,6360000,6335000,6250000,6213000,6100000,6150000,6340000,6340000,6279000,6350000,6375000,6335000,6250000,6340000,6435000,6325000,6245000,6350000,6225000,6200000,6199000,6100000
Johan Cruyff,94,4750000,5099000,5099000,5179000,5179000,5179000,5350000,5208000,5129000,5129000,5129000,5145000,5145000,5262500,5175000,5175000,5175000,5160000,5175000,5160000,5432500,5115000,5225000,5100000,5000000,5000000
Ronaldinho,94,4864950,5197500,5195000,5587500,5175000,5175000,5128500,5121000,5121000,5121000,5121000,5121000,5324500,5300000,5212500,5125000,5125000,5125000,5150000,5150000,5249500,5150000,5587500,5364000,5349000,5121000
Paolo Maldini,94,2736000,3275000,3250000,3588000,3419000,3175000,3180000,3449500,3225000,3075000,3000000,3150000,3150000,3099000,3049500,2950000,2880000,2880000,3000000,3000000,3000000,3000000,3150000,2926667,,2880000
Lev Yashin,94,622250,692000,697000,699000,699000,719500,712333,690000,700000,714000,720000,725000,725000,727000,732500,720000,715000,690000,657500,655000,690000,694500,687500,674333,,655000
Zinedine Zidane,94,2090000,2200000,2220000,2277667,2270000,2280000,2267333,2246000,2219000,2289000,2278000,2270000,2325000,2309500,2295000,2290000,2285000,2300000,2285000,2326000,2302000,2317500,2282000,2305000,,2200000
Garrincha,94,2066250,2468000,2319000,2299000,2299000,2299000,2299000,2299000,2299000,2500000,2500000,2500000,2500000,2500000,2349000,2299000,2335000,2200000,2190000,2212500,2175000,2333500,2259000,2398000,2398000,2175000
Xavi,93,1301500,1410000,1410000,1534000,1440500,1440000,1452333,1435000,1437000,1452000,1465000,1465000,1465000,1465000,1401000,1450000,1432000,1413500,1385000,1465000,1465000,1468500,1370000,1445000,1425000,1370000
